"fov","cell_ID","RAMP2","CD83","RYK","CD5L","NLRP2","BIRC5","LIF","H2AZ1","PTGES3","CDH11"
11,1,0,0,1,0,0,0,0,0,1,0
11,2,0,0,0,0,3,0,0,1,1,0
11,3,0,0,3,0,3,0,0,0,2,0
11,4,0,0,0,0,0,0,0,1,1,0
11,5,0,0,0,0,1,0,0,1,1,0
11,6,0,0,0,0,0,0,0,1,2,0
11,7,0,0,0,0,3,0,0,0,1,0
11,8,0,0,0,0,1,0,0,1,1,0
11,9,0,0,0,0,5,1,0,2,5,0
11,10,0,1,0,0,3,1,0,3,4,0
11,11,0,0,0,0,0,0,0,0,0,0
11,12,0,0,2,0,0,1,0,1,1,0
11,13,0,0,0,0,3,0,0,0,2,0
11,14,0,0,0,0,0,1,0,0,2,0
11,15,0,0,0,0,6,0,0,2,0,0
11,16,0,0,0,0,2,1,0,3,0,2
11,17,0,0,0,0,0,5,0,2,3,0
11,18,0,0,1,0,4,0,0,2,5,0
11,19,0,0,4,0,2,1,0,2,2,0
11,20,0,0,1,0,1,0,0,1,4,0
11,21,0,0,0,0,3,1,0,1,1,0
11,22,0,0,1,0,0,0,0,1,1,0
11,23,0,0,0,0,1,3,0,1,1,0
11,24,0,0,1,0,0,0,1,1,2,0
11,25,1,0,3,0,1,1,0,1,1,0
11,26,0,0,0,0,2,13,0,14,4,0
11,27,0,0,2,0,6,0,0,0,1,0
11,28,0,0,0,0,0,0,0,1,2,0
11,29,0,0,0,0,0,0,0,0,4,0
11,30,0,0,2,0,1,1,0,0,1,0
11,31,0,0,0,0,3,0,1,0,2,0
11,32,0,0,2,1,1,0,1,0,3,0
11,33,1,0,0,0,0,0,0,1,2,1
11,34,0,1,0,0,0,0,0,0,2,0
11,35,0,0,1,0,1,3,1,3,1,0
11,36,0,0,4,0,4,2,0,4,6,0
11,37,0,0,0,0,2,0,0,2,2,0
11,38,0,0,1,0,2,0,0,0,2,0
11,39,0,0,0,0,0,1,0,1,1,0
11,40,0,0,1,0,1,0,0,0,1,0
11,41,0,0,0,0,1,0,0,1,2,0
11,42,0,0,0,0,4,0,0,0,0,0
11,43,0,0,0,0,4,1,0,0,1,0
11,44,0,2,1,1,3,0,0,0,2,0
11,45,0,0,0,0,0,0,0,0,1,0
11,46,0,0,0,0,0,0,0,0,1,0
11,47,0,0,1,0,1,0,0,0,4,0
11,48,0,0,0,0,6,1,0,1,2,0
11,49,0,0,1,0,0,2,0,1,3,0
11,50,0,0,1,0,1,1,0,3,1,0
