"cell","PDK4","CCL26","CX3CL1","PGLYRP1","CD4","SNAI2","TNFRSF17","ICAM3","TBX21","FAP"
26985800002100002,0,0,0,0,0,0,0,0,0,0
26985800002100003,0,0,0,0,0,0,0,0,0,0
26985800002100009,0,0,0,0,0,0,0,0,0,0
26985800002100016,0,0,0,0,0,0,0,0,0,0
26985800002100017,0,0,0,0,0,0,0,0,0,0
26985800002100019,0,0,0,0,0,0,0,0,0,0
26985800002100020,0,0,0,0,0,0,0,0,0,0
26985800002100024,0,0,0,0,0,0,0,0,0,0
26985800002100030,0,0,0,0,0,0,0,0,0,0
26985800002100031,0,0,0,0,0,0,0,0,0,0
26985800002100032,0,0,0,0,0,0,0,0,0,0
26985800002100035,0,0,0,0,0,0,0,0,0,0
26985800002100039,0,0,0,0,0,0,0,0,0,0
26985800002100042,0,0,0,0,0,0,0,0,0,0
26985800002100043,0,0,0,0,0,0,0,0,0,0
26985800002100045,0,0,0,0,0,0,0,0,0,0
26985800002100046,0,0,0,0,0,0,0,0,0,0
26985800002100048,0,0,0,0,0,0,0,0,0,0
26985800002100050,0,0,0,0,0,0,0,0,0,0
26985800002100054,0,0,0,0,0,0,0,0,0,0
26985800002100055,0,0,0,0,0,0,0,0,0,0
26985800002100057,0,0,0,0,0,0,0,0,0,0
26985800002100060,0,0,0,0,0,0,0,0,0,0
26985800002100062,0,0,0,0,0,0,0,0,0,0
26985800002100073,0,0,0,0,0,0,0,0,0,0
26985800002100076,0,0,0,0,0,0,0,0,0,0
26985800002100083,0,0,0,0,0,0,0,0,0,0
26985800002100086,0,0,0,0,0,0,0,0,0,0
26985800002100087,0,0,0,0,0,0,0,0,0,0
26985800002100089,0,0,0,0,0,0,0,0,0,0
26985800002100095,0,0,0,0,0,0,0,0,0,0
26985800002100096,0,0,0,0,0,0,0,0,0,0
26985800002100098,0,0,0,0,0,0,0,0,0,0
26985800002100107,0,0,0,0,1,0,0,0,0,0
26985800002100108,0,0,0,0,1,0,1,0,0,0
26985800002100111,0,0,0,0,0,0,0,0,0,0
26985800002100114,0,0,0,0,0,0,0,0,0,0
26985800002100116,0,0,0,0,0,0,0,0,0,0
26985800002100118,0,0,0,0,0,0,0,0,0,0
26985800002100122,0,0,0,0,0,0,0,0,0,0
26985800002100123,0,0,0,0,0,0,0,1,0,0
26985800002100129,1,0,0,0,0,0,0,1,0,0
26985800002100130,2,0,0,0,0,0,0,2,0,0
26985800002100131,0,0,0,0,0,0,0,0,0,0
26985800002100132,1,0,0,0,0,0,0,0,0,0
26985800003100005,0,0,0,0,0,0,0,0,0,0
26985800003100006,1,0,0,0,0,0,0,0,0,0
26985800003100007,1,0,0,0,0,0,0,0,0,0
26985800003100008,0,0,0,0,0,0,0,0,1,0
26985800003100010,0,0,0,0,0,0,0,0,0,0
